description,images,part,name,weight,associated
"Original Weasler Part<br> C to C Max: 60""<br> C to C Min: 44""<br> Implement: 1 3/8"" - 6 Spline<br> Total Collapsed Length: 54""<br> Tractor Yoke: 1 3/8"" - 6 Spline","https://www.aiproducts.com/images/14506855(1).JPG,https://www.aiproducts.com/images/14506855(2).JPG","A-14506855","Driveline, Complete 80� CV w/ 1 3/8"" 6 Spline Yokes","72.30 lbs","null"
"Weasler 4-80 series CV wide angle PTO drive shaft with a 1 3/8-6 spline auto-lok tractor connection and minus end yoke, cross and bearing kit needed for implement connection.<br> Original Weasler Part<br> C to C Max: 61""<br> C to C Min: 40""<br> Total Collapsed Length: 48""<br> Tractor Yoke: 1 3/8"" - 6 Spline","https://www.aiproducts.com/images/14558648(1).JPG,https://www.aiproducts.com/images/14558648(2).JPG","A-14558648","Driveline, Complete 80� CV Less Implement Yoke","45.90 lbs","null"
"Replaces: 86589581, 86616603<br> Section: 31","https://www.aiproducts.com/images/146-023A(1).JPG,https://www.aiproducts.com/images/146-023A(2).JPG,https://www.aiproducts.com/images/146-023A(3).JPG","A-146-023A","8' LH, Chrome, 7TPI,  Bolted, W/ Knifehead","17.00 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 60""<br> C to C Min: 44""<br> Implement: 1 3/8"" - 6 Spline<br> Total Collapsed Length: 54""<br> Tractor Yoke: 1 3/8"" - 21 Spline","","A-14606855","Driveline, Complete 80� CV w/ Yokes","72.30 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 60""<br> C to C Min: 44""<br> Implement: 1 3/8"" - 21 Spline<br> Total Collapsed Length: 54""<br> Tractor Yoke: 1 3/8"" - 21 Spline","","A-14626855","Driveline, Complete 80� CV w/ 1 3/8"" - 21 Spline Yokes","71.00 lbs","null"
"Weasler 6-80 series CV wide angle PTO drive shaft with a 1 3/8-21 spline auto-lok tractor connection and minus end yoke, cross and bearing kit needed for implement connection<br> Weasler alternative to original part.<br> C to C Max: 60""<br> C to C Min: 38""<br> Total Collapsed Length: 49""<br> Tractor Yoke: 1 3/8"" - 21 Spline","https://www.aiproducts.com/images/14656848(1).JPG,https://www.aiproducts.com/images/14656848(2).JPG","A-14656848","Driveline, Complete 80� CV Less Implement Yoke","67.00 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 52""<br> C to C Min: 38""<br> Implement: 1 3/8"" - 6 Spline<br> Total Collapsed Length: 47""<br> Tractor Yoke: 1 3/8"" - 21 Spline","https://www.aiproducts.com/images/14698648(1).JPG,https://www.aiproducts.com/images/14698648(2).JPG","A-14698648","Driveline, Complete w/ 1 3/8"" - 21 Spline x 1 3/8"" - 6 Spline Yokes","66.15 lbs","null"
"Rotary tiller driveline with friction disc clutch. Driveline rated as a category 3 (35 hp), 100 series. Driveline C-to-C length: 20"" (510 mm), Max C-to-C length: 29.375"" (746 mm), Total collapsed length: 29.37"" (746 mm). Tractor end: 1-3/8"" 6 spline, Implement end: 1-3/8"" 6 spline 6"" 2 disc clutch. Fits King Kutter Rotary Tillers.<br> Original Bondioli & Pavesi part.<br> C to C Min: 510 mm/ 20""<br> Clutch Diameter: 6""<br> Implement: 1 3/8"" - 6 spl. 2 disc clutch<br> Total Length: 746 mm/ 29.37""<br> Tractor: 1 3/8"" -6","https://www.aiproducts.com/images/CS42016(1).JPG","A-147122","Driveline; W/ 6"" Clutch","27.00 lbs","null"
"Weasler alternative to original part.<br> C to C Max: 60""<br> C to C Min: 44""<br> Implement: 1 3/8"" - 21 Spline<br> Total Collapsed Length: 54""<br> Tractor Yoke: 1 3/4"" - 20 Spline","https://www.aiproducts.com/images/14736855(1).JPG,https://www.aiproducts.com/images/14736855(2).JPG","A-14736855","Driveline, Complete 80� CV w/ Yokes","73.50 lbs","null"
"Dim A (1): 6.0""<br> Dim B (2): 1.5""<br> Dim C (3): 4.0""","https://www.aiproducts.com/images/96F1C.JPG,https://www.aiproducts.com/images/149956(1).JPG","A-149956","Baler Tooth",".46 lbs","null"
"Maximum Diameter: 3""<br> Minimum Diameter: 1/16""","https://www.aiproducts.com/images/14B506(1).JPG,https://www.aiproducts.com/images/14B506(2).JPG","A-14B506","11-1/2"" Self Locking Nylon Cable Ties",".01 lbs","null"
"Used W/ E98183 Bolt.<br> Dim A (1): Thread Size: .630"" (16 MM)<br> Dim B (2): Grade: 10","","A-14M7328","Lock Nut, M16",".09 lbs","null"
"Inner Tube Yoke, type 80/80CV. Fits 58.1 mm tube size. Replaces Comer No. 151018242. Fits Comer V Series.<br> Replaces: Comer Part No: 151018242<br> Size: 58.1mm ID","","A-151018242","Inner tube yoke, V series fits tube 58.1 mm","5.50 lbs","null"
"Outside Diameter: 2.441""<br> Radius: .05""<br> Replaces: 15245<br> Width: .562""","https://www.aiproducts.com/images/WBKMIS.JPG,https://www.aiproducts.com/images/TAPERED ROLLER CUPS GROUP W_DIMS.JPG,https://www.aiproducts.com/images/ROLLER.JPG","A-15245-I","Cup, Tapered Bearing",".18 lbs","null"
"","https://www.aiproducts.com/images/1541638C1(1).JPG,https://www.aiproducts.com/images/1541638C1(2).JPG,https://www.aiproducts.com/images/1541638C1(3).JPG,https://www.aiproducts.com/images/1541638C1.JPG","A-1541638C1","Trough, Clean Grain; Non-Perforated","20.00 lbs","null"
"Rotation: CW<br> Teeth: 9<br> Type: ND/OSGR<br> Volts/Kilowatts: 12","","A-15504-63010","Starter, ND/OSGR","10.00 lbs","null"
"Outside Diameter: 2.250""<br> Radius: .06""","https://www.aiproducts.com/images/TAPERED%20ROLLER%20CUPS%20GROUP%20W_DIMS.JPG","A-15520-I","Cup, Tapered Bearing",".15 lbs","null"
"Bore: 1.250""<br> Lube Type: Non-Relubable<br> Outside Diameter: 2.4409""<br> Replaces: 374101A1, 1270174C91, 156011C92, 156011C91, 156010C91","https://www.aiproducts.com/images/nps103rp2c.JPG","A-156010C92","Bearing, Elevator Drive/ Auger Trough",".67 lbs","null"
"Rotation: CW<br> Teeth: 11<br> Type: ND/OSGR<br> Volts/Kilowatts: 12","https://www.aiproducts.com/images/15621-63012(1).JPG,https://www.aiproducts.com/images/15621-63012(2).JPG,https://www.aiproducts.com/images/15621-63012(3).JPG,https://www.aiproducts.com/images/15621-63012(4).JPG,https://www.aiproducts.com/images/15621-63012(5).JPG","A-15621-63012","RE-MFG.  ND/OSGR","arge: $20.00 ","null"
"This water pump with pulley is completely new, from the seal to the housing, and fits multiple White / Oliver / Minneapolis Moline Tractor models.<br> Replacement Pulley 159091A Is Also Available From A & I Products.","https://www.aiproducts.com/images/157400AS(1).JPG,https://www.aiproducts.com/images/157400AS(2).JPG,https://www.aiproducts.com/images/157400AS(3).JPG,https://www.aiproducts.com/images/157400AS(4).JPG,https://www.aiproducts.com/images/157400AS(GASKET).JPG","A-157400AS","Pump, Water w/ Pulley","15.70 lbs","null"
"Outside Diameter: 2""","https://www.aiproducts.com/images/15A15273(1).JPG,https://www.aiproducts.com/images/15A15273(2).JPG,https://www.aiproducts.com/images/15A15273.JPG","A-15A15273","Tongue Mounting Bracket For 15A158L & 15A158S",".70 lbs","A-15A158L, A-15A158S"
"","https://www.aiproducts.com/images/15A904(1).JPG,https://www.aiproducts.com/images/40M4624.JPG","A-15A904","Snap Ring For 15A151, 151SW, 152 & 171",".06 lbs","null"
"Dim A (1): 6.00""<br> Dim B (2): 1.75""","https://www.aiproducts.com/images/162318.JPG,https://www.aiproducts.com/images/162318(1).JPG","A-162318","Rake Tooth",".35 lbs","null"
"","","A-165386","Shoe, Skid; RH, Plastic","1.65 lbs","null"
"Type: DR/ALT<br> Volt/Amperage: 12/61","https://www.aiproducts.com/images/AL-142(1).JPG,https://www.aiproducts.com/images/AL-142(2).JPG,https://www.aiproducts.com/images/AL-142(3).JPG,https://www.aiproducts.com/images/AL-142(4).JPG,https://www.aiproducts.com/images/AL-142(5).JPG","A-166195AS","Alternator, DR/ALT","11.00 lbs","null"
"Body Diameter: 3.32""<br> Outside Diameter: 3.750""<br> Replaces: 1875187M92, 1674637M92","https://www.aiproducts.com/images/1674637M91(1).JPG,https://www.aiproducts.com/images/1674637M91(2).JPG,https://www.aiproducts.com/images/1674637M91(3).JPG","A-1674637M91","Tachometer","1.00 lbs","null"
"New by-pass hose with an inside diameter of 1.75"" and works with gas & diesel. This by-pass hose fits multiple White / Oliver / Minneapolis Moline Tractor models.<br> Dim A (1): A - 1.75""","https://www.aiproducts.com/images/168494A(1).JPG,https://www.aiproducts.com/images/168494A.JPG","A-168494A","Hose, Bypass",".50 lbs","null"
"","https://www.aiproducts.com/images/1693367M1(1).JPG,https://www.aiproducts.com/images/1693367M1(2).JPG,https://www.aiproducts.com/images/1693367M1(3).JPG","A-1693367M1","Switch, Hydraulic Pressure",".20 lbs","null"
"","","A-170-XL-140","17"" XL 1.40"" 85 Teeth",,"null"
"Qty 2 required to repair 1 belt<br> Replaces: AE53298<br> Set Quantity: each","https://www.aiproducts.com/images/1701432(1).JPG,https://www.aiproducts.com/images/1701432(2).JPG,https://www.aiproducts.com/images/1701432(3).JPG","A-1701432","Lacing, Mato Heavy Plate 14 Segment -7""",".14 lbs","null"
"","https://www.aiproducts.com/images/1701489(1).JPG,https://www.aiproducts.com/images/1701489(2).JPG","A-1701489","Blade, 14"" Replacement, Belt lacer",".70 lbs","null"
"0.531"" x 38.27"" Automotive Polyester Cord Cogged<br> Color: Black<br> Length: 38.27""<br> LP Length: 38""<br> Material: Polyester Cord<br> OC Length: 38.27""<br> Thickness: 0.354""<br> Type: Automotive<br> Width: 0.531""","https://www.aiproducts.com/images/AUTOWEDGE.JPG","A-17380","Automotive Wedge (17/32"" X 38.27"")",".26 lbs","null"
"Dim A (1): 145 Teeth<br> Dim B (2): 14.685"" O.D.<br> Dim C (3): 13.680"" I.D.<br> Dim D (4): .500"" Thick","https://www.aiproducts.com/images/1750034.JPG","A-1750034M1","Ring Gear, Flywheel","2.54 lbs","null"
"Used W/ 835615M92 Water Pump","https://www.aiproducts.com/images/1751852M1(1).JPG,https://www.aiproducts.com/images/1751852M1(2).JPG","A-1751852M1","Pulley, Water Pump","3.40 lbs","A-835615M92"
"Bore: .625""<br> Radius: .06""<br> Width: .656""","https://www.aiproducts.com/images/TAPERED ROLLER CONES GROUP W_DIMS.JPG,https://www.aiproducts.com/images/17580(1).JPG","A-17580-I","Cone, Tapered Roller Bearing",".18 lbs","null"
"Inside Diameter: 1.680""<br> Outside Diameter: 3.158""<br> Replaces: AH90963<br> Type: 2000E<br> Width: .28""","https://www.aiproducts.com/images/17724-I(1).JPG,https://www.aiproducts.com/images/17724-I(2).JPG,https://www.aiproducts.com/images/17724-I(3).JPG,https://www.aiproducts.com/images/17724-I(4).JPG","A-17724-I","Assy, Shaft Seal",".15 lbs","null"
"Inside Diameter: 1.687""<br> Material: Rubber<br> Overall Diameter: 2.125""","https://www.aiproducts.com/images/17C41(GASKET)(1).JPG,https://www.aiproducts.com/images/17C41(GASKET)(2).JPG","A-17C41","Gasket, Sediment Bowl (10 pack)",".01 lbs","null"
"Cross and Bearing Kit, type 40/40 CV. Cross and bearing kit measures 27 mm x 74.6 mm (External snap ring). Center grease zerk location. Cross kit rated at 35 hp @ 540 rpm, 55 hp @ 1,000 rpm. Replaces Comer No. 180014004. Fits Comer V series.<br> 35 HP @ 540 RPM. 55 HP @ 1000 RPM.<br> Dim A (1): 27 MM<br> Dim B (2): 74.6 MM<br> Grease Zerk Location: Center<br> Replaces: Comer Part No: 180014004<br> Size: (A/B) 27mm x (C/D) 74.6mm<br> Snap Ring Location: External","https://www.aiproducts.com/images/Comer_Size.GIF,https://www.aiproducts.com/images/COMERV40.JPG","A-180014004","Cross & Bearing Kit",".95 lbs","null"
"Cross and Bearing Kit, type 60/60 CV. Cross and bearing kit measures 30.2 mm x 30.2 mm x 95.4 mm 101.4 mm (External snap ring). Center grease zerk location. Cross kit rated at 90hp @ 540 rpm, 139 hp @ 1,000 rpm. Replaces Comer No. 180016228. Fits Comer V series; Bush Hog Rotary Cutters.<br> 90 HP @ 540 RPM. 139 HP @ 1000 RPM.<br> Grease Zerk Location: Center<br> Replaces: Comer Part No: 180016228<br> Size: (A) 30.2mm x (B) 30.2mm x (C) 95.4mm x (D)101.4mm<br> Snap Ring Location: External","https://www.aiproducts.com/images/180016228(1).JPG,https://www.aiproducts.com/images/180016228(2).JPG,https://www.aiproducts.com/images/Comer_Size.GIF,https://www.aiproducts.com/images/COMERV60CV.JPG","A-180016228","Cross & Bearing Kit","1.70 lbs","null"
"Friction clutch bushing, type 50, 60, 80. Bushing measures 65 mm O.D., 59 mm I.D., and 15 mm width. Replaces Comer No. 180.019.019. Fits Comer friction clutch; Bush Hog Rotary Cutters<br> Descriptions: Bushing, Friction Clutch<br> Inside Diameter: 59MM<br> Outside Diameter: 65MM<br> Quantity Required: 1<br> Replaces: Comer Part No: 180.019.019<br> Size: -<br> Width: 15MM","https://www.aiproducts.com/images/F2-COMER.GIF,https://www.aiproducts.com/images/FF4-COMER.GIF","A-180019019","Bushing, Friction Clutch",".12 lbs","null"
"Dim A (1): Keyed","https://www.aiproducts.com/images/180350M1A.JPG","A-180350M1","Steering Arm","2.50 lbs","null"
"Dim A (1): A - 3.594""<br> Dim B (2): B - .687""<br> Dim C (3): 18 LH Thread<br> Replaces: 969352M1","https://www.aiproducts.com/images/180391.JPG,https://www.aiproducts.com/images/826752.JPG","A-180391M91","Drag Link End","1.02 lbs","null"
"","https://www.aiproducts.com/images/381312KIT.JPG","A-180670A1","Shaft, Cam Pivot",".84 lbs","null"
"Dim A (1): 33.250"" Long<br> Dim B (2): .375"" Thick<br> Dim C (3): 1.750"" Wide<br> Dim D (4): .937"" Hole<br> Dim E (5): 31.562"" Center To Center","https://www.aiproducts.com/images/181778M1.JPG","A-181778M1","Stabilizer Arm, Heavy Duty","5.63 lbs","null"
"","https://www.aiproducts.com/images/513800M1.JPG,https://www.aiproducts.com/images/THRUST BRG.JPG","A-183021M2","Seal, Under Steering Arm",".02 lbs","null"
"For Machines With Twist Style Operators Presence Switch, 2 Terminal, Normally Open<br> Mount: Twist<br> Position: 2<br> Replaces: AM125824, LVA12333<br> Terminals: 2","","A-183871","Switch, Operator Presence; Twist Mount, Normally Open",".09 lbs","null"
"Inside Diameter: 1.2515""<br> Outside Diameter: 4.228""","https://www.aiproducts.com/images/185286C91.JPG","A-185286C91","Hub Assy, Fan Driver Adjusting","3.86 lbs","null"
"Consist of: parts listed below, plus hardware.","https://www.aiproducts.com/images/186145.JPG","A-186145M92","Complete Tie Rod Assembly (RH)","7.54 lbs","A-CLP12, A-186065M91, A-186066M91, A-186077M92"
"Used W/ Starter # 1107127, 1107165<br> Replaces: 1859020, 1868804","https://www.aiproducts.com/images/D-27C(1).JPG,https://www.aiproducts.com/images/D-27C(2).JPG,https://www.aiproducts.com/images/D-27C(3).JPG","A-1868804","Starter Drive","2.40 lbs","null"
"Used when 1683757M91 is used as a service replacement<br> Dim A (1): 3.81"" Long<br> Dim B (2): 1 Groove<br> Dim C (3): 10 Spline","https://www.aiproducts.com/images/1871924M1.JPG","A-1871924M1","Coupling, Drive Shaft","1.34 lbs","null"
"","https://www.aiproducts.com/images/20A5(1).JPG,https://www.aiproducts.com/images/20A5(2).JPG,https://www.aiproducts.com/images/20A5.JPG","A-1882323","Switch, Starter",".30 lbs","null"
"5/8"" x 169.1"" Wrapped 2-Band Aramid Cord<br> Color: Black<br> Length: 169.1""<br> Material: Aramid Cord<br> Thickness: 0.494""<br> Type: Wrap 2-Band<br> Width: 5/8""","https://www.aiproducts.com/images/BELT.JPG","A-18990","Belt, Drive","5.01 lbs","null"
"Dim C (3): 3 Bolt Mount<br> Rotation: CW<br> Teeth: 10<br> Type: Delco<br> Volts/Kilowatts: 12","https://www.aiproducts.com/images/1903119M91(1).JPG,https://www.aiproducts.com/images/1903119M91(2).JPG,https://www.aiproducts.com/images/1903119M91(3).JPG","A-1903119M91","RE-MFG. STARTER","arge: $40.00 ","A-NSD-30"
"Inner Tube, type 40/40 CV. Inner tube has 39.3 mm O.D., 4.5 mm wall thickness, and is 1500 mm in length. Replaces Comer No. 191140700-2. Fits Comer V series.<br> Original Bondioli & Pavesi part.<br> Replaces: Comer Part No: 191140700-2<br> Size: (A) 39.3mm x (B) 4.5mm, length 1400mm","https://www.aiproducts.com/images/Comer_TubeSize2.GIF,https://www.aiproducts.com/images/COMERV40.JPG,https://www.aiproducts.com/images/COMERV40CV.JPG","A-191140700-2","Inner Tube","13.51 lbs","null"
"Inner Tube, type 80 & 90. Inner tube has 58.1 mm O.D., 5.0 mm wall thickness, and is 1500 mm in length. Replaces Comer No. 191190700-2. Fits Comer V series.<br> Replaces: Comer Part No: 191190700-2<br> Size: (A) 58.1mm x (B) 5.0mm, length 1400mm","https://www.aiproducts.com/images/Comer_TubeSize2.GIF,https://www.aiproducts.com/images/COMERV80.JPG,https://www.aiproducts.com/images/COMERV90.JPG","A-191190700-2","Inner Tube","23.00 lbs","null"
"","","A-191542C2","Coupling-Splined, U-Joint, Seperator Drive",,"null"
"Dim A (1): 36""<br> Dim B (2): 47""<br> Dim C (3): 28""<br> Dim D (4): 29""<br> Dim E (5): 28""","https://www.aiproducts.com/images/192005A5.JPG","A-192005A5","Glass, Door, Upper (RH); Tinted","48.00 lbs","null"
"For old style gear box.<br> Dim A (1): A - 49.125""<br> Dim B (2): B - 3.00""<br> Dim C (3): 11.75"" RH flighting<br> Reference Number: 6","https://www.aiproducts.com/images/192835C1(1).JPG,https://www.aiproducts.com/images/192835C1(2).JPG,https://www.aiproducts.com/images/192835C1(3).JPG,https://www.aiproducts.com/images/192835C1(4).JPG,https://www.aiproducts.com/images/AUGER.JPG","A-192835C1","Auger, Vertical Unloading","63.25 lbs","null"
"Overall Length: 78.250""<br> Reference Number: 8<br> Rotation: Right Hand<br> Shaft Diameter: 1.125"" Hex<br> Tube Size: 1.50""","https://www.aiproducts.com/images/193398C1.JPG,https://www.aiproducts.com/images/AUGER.JPG","A-193398C1","Auger, Grain Bed; RH Rotation","23.00 lbs","null"
"Dim A (1): 13.06"" Long<br> Dim B (2): 6 Spline<br> Dim C (3): .750"" Shaft<br> Dim D (4): .187"" Keyway","https://www.aiproducts.com/images/194354.JPG","A-194354","Shaft, Hydraulic Pump Drive","1.60 lbs","null"
"Dim A (1): 9.38"" Long<br> Dim B (2): 10 Spline","https://www.aiproducts.com/images/195454.JPG","A-195454","Shaft, Hydraulic Pump Drive","1.30 lbs","A-L36-6, A-290421"
"Drum is designed to improve feeding, reduce loss and increase speed. In side by side testing w/ standard drums, the posifeed roller consistantly delivered superior results.<br> Dim A (1): Paddle style drum provides more aggressive and smoother feeding in light or heavy crops.<br> Dim B (2): Installation is determined by feeding level required - aggressive or more aggresive.<br> Dim E (5): For a 2 strand feeder chain.<br> Diameter: 9 5/8""<br> Length: 32 1/4""","https://www.aiproducts.com/images/1957437C1-PF(1).JPG,https://www.aiproducts.com/images/1957437C1-PF(2).JPG,https://www.aiproducts.com/images/1957438C1.JPG","A-1957437C1-PF","Drum, Feed Roll; Posifeed Design","62.35 lbs","null"
"Inside Diameter: .669""<br> Outside Diameter: 1.574""<br> Replaces: CNH Part#'s ST620, 80437C91","https://www.aiproducts.com/images/1969300C1(1).JPG,https://www.aiproducts.com/images/1969300C1(2).JPG,https://www.aiproducts.com/images/1969300C1(3).JPG","A-1969300C1","Bearing, Ball",".15 lbs","null"
